,nbDays,TVL_ETH,CumulRet,FeesRet,AnnRet,AnnVol,MaxDrawdown,Fees/Vol,FeesAnn,Fees_30D_pct,Fees/Vol 30D,Pair,Extra Incentives APR
0xe3d3551bb608e7665472180a20280630d9e938aa,249,3505.9126,-0.18645686,0.03568732738494873,-0.2610242636413931,1.1787449859687735,-0.5694688920685251,0.030275698144852287,0.052744883788881536,0.003054976463317871,0.031100634994162865,WETH_SAITAMA,0
0xd3d2e2692501a5c9ca623199d38826e513033a17,406,7243.23,0.025703192,0.06962203979492188,0.023077838900897207,0.6248335148297887,-0.3245408827365853,0.11142494463327189,0.06237663444762598,0.002639293670654297,0.050687940541216364,UNI_WETH,0
0xccb63225a7b19dcf66717e4d40c9a72b39331d61,406,8530.429,-0.57480085,0.01942276954650879,-0.5364473494361952,0.6540462420946883,-0.6293158691076937,0.029696324657877776,0.017444353228619702,0.0021756887435913086,0.03991807190800422,MC_WETH,0
0xbb2b8038a1640196fbe3e38816f3e67cba72d940,406,5500.787,0.101771235,0.037343382835388184,0.09104036264709592,0.39298952381991986,-0.20644373403658745,0.09502386341601333,0.03350980130024528,0.001007676124572754,0.03076955685061476,WBTC_WETH,0
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,406,57339.234,0.8279799,0.26483356952667236,0.7199514153824367,0.8630209923966659,-0.27342318195087123,0.3068680505571622,0.2351779201705808,0.010711908340454102,0.14894527620756612,USDC_WETH,0
0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,406,9493.817,0.7916877,0.2153613567352295,0.6892213716602191,0.863007398626563,-0.27810248668847126,0.24954752077208991,0.19165743657064072,0.006224155426025391,0.08654603104349999,DAI_WETH,0
0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c,406,4393.9014,0.7066673,0.14208900928497314,0.6169822906865008,0.8603996722570805,-0.2923879602793854,0.1651430304619155,0.12686816463179107,0.007641196250915527,0.10657181536395192,PAXG_WETH,0
0x7b73644935b8e68019ac6356c40661e1bc315860,406,8659.732,-0.16959888,0.08163750171661377,-0.15386695939385142,1.0453307441686883,-0.34787146290979065,0.07809729329403486,0.07309948065376526,0.0038924217224121094,0.04468352330543119,ELON_WETH,0
0x6033368e4a402605294c91cf5c03d72bd96e7d8d,361,3792.29,-0.2684554,0.27342283725738525,-0.2709848390756311,2.168889578500147,-0.8099052895550566,0.12606581725864782,0.2768379016993414,0.023863911628723145,0.13203389530909598,X2Y2_WETH,0
0x48d20b3e529fb3dd7d91293f80638df582ab2daa,160,5632.4214,250062000000.0,inf,1.0041447008343609e+26,7834786862675.721,-0.99999999997175,inf,inf,inf,inf,WETH_CAW,0
0x2d0ba902badaa82592f0e1c04c71d66cea21d921,379,3437.5234,-0.2610895,0.008265376091003418,-0.2527843433984377,0.4080853699334318,-0.27063426262766077,0.020254036777529398,0.00795884705354788,0.00023090839385986328,0.006790002608450182,WETH_BTT,0
0x25647e01bd0967c1b9599fa3521939871d1d0888,406,3692.8213,-0.43385714,0.05187845230102539,-0.40037897609746753,0.753594843989828,-0.5519891973297569,0.06884130473393425,0.046519588760864705,0.0029021501541137695,0.046212898253103374,WETH_SUPER,0
0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,403,68742.164,-0.19427872,0.0003204345703125,-0.17769878775666115,0.04542880946118327,-0.19427869421592014,0.007053554211811249,0.0002902155122512795,1.4066696166992188e-05,0.0037157115937219974,WISE_WETH,0
0x0ee0cb563a52ae1170ac34fbb94c50e89adde4bd,406,4214.0283,-0.34244967,0.019279956817626953,-0.31401363542238114,0.6026055655643707,-0.48061442512356145,0.03199432252101803,0.017316210739128923,0.0020755529403686523,0.04133157193976046,WAXE_WETH,0
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,406,22555.092,0.86024916,0.3020099401473999,0.7472233236270731,0.8615369227935968,-0.27121830298783545,0.3505478780504386,0.2677684784980081,0.019970059394836426,0.27815489551043787,WETH_USDT,0
0x0af81cd5d9c124b4859d65697a4cd10ee223746a,358,7469.756,0.00072205067,1.2636184692382812e-05,0.0007361741714413395,0.004166334014692432,-0.0014771486181026638,0.003032926464326131,1.2883262521024008e-05,0.0,0.0,XXi_WETH,0
0xdb06a76733528761eda47d356647297bc35a98bd,347,4438.8193,0.09255612,0.12812268733978271,0.09758447175703222,1.5880869967494424,-0.5330253340986151,0.08067737321823626,0.1351995852203125,0.010293722152709961,0.07778205229647656,WETH_JPEG,0.04017493307032203
0xd4e7a6e2d03e4e48dfc27dd3f46df1c176647e38,406,4334.2666,-0.71579576,0.01190030574798584,-0.6772949223762399,0.8950745329267918,-0.8146997463819476,0.013295323808480166,0.010692150116942134,0.0008878707885742188,0.011903421526307745,TOKE_WETH,0.2222002990032734
0xceff51756c56ceffca006cd410b03ffc46dd3a58,406,11799.444,0.08716142,0.030332326889038086,0.07802509799358792,0.395030190695711,-0.20935188035964714,0.07678483215578545,0.027227903389960728,0.001074671745300293,0.032645760368065796,WBTC_WETH,0.006669668187540585
0xc3f279090a47e80990fe3a9c30d24cb117ef91a8,406,4602.035,-0.57159245,0.0533597469329834,-0.533303969925977,0.8713943989222113,-0.6600015090175682,0.06123489776728159,0.04784441590331756,0.004152536392211914,0.05718471081312435,WETH_ALCX,0.009940836753937886
0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,406,4820.612,0.73393416,0.20727157592773438,0.6401888045567279,0.8631877473880332,-0.2811095527514007,0.24012339905765429,0.184524047929695,0.010761499404907227,0.14960591510902746,DAI_WETH,0.029945731811780004
